Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
47,C21f7d6DF0F4c96,"Reed, Richmond and Gillespie",http://www.rogers.com/,Chile,Universal value-added algorithm,1982,Civil Engineering,227
48,E1FB0614C13B8D3,Sampson-Jacobs,http://mora.com/,Vietnam,Multi-layered bottom-line productivity,1972,Medical Practice,3589
49,5AdBE5a7AD41EF5,Lyons Ltd,http://www.cohen-conley.biz/,Monaco,Implemented system-worthy task-force,1978,Library,4553
50,311EB80751eD42C,Obrien-Jenkins,https://www.kane.com/,Samoa,Proactive tangible application,1991,Computer Games,8540
51,3893ae54AdAeA9a,Acosta LLC,https://www.zamora.com/,Indonesia,Enhanced optimal instruction set,1973,Civic / Social Organization,8743
52,e9CEFAdC0aa5e04,"Houston, Wyatt and Farrell",http://www.barker.com/,Australia,Proactive incremental data-warehouse,1985,Packaging / Containers,7217
53,1F18c01d5ad6c0B,"Church, Kaufman and Frederick",http://www.roberson.org/,Vietnam,Customer-focused local focus group,2019,Medical Equipment,6694
54,Cc2b6BcFe8fA317,Bruce-Oneal,https://www.cortez-heath.info/,Djibouti,Horizontal multi-state Local Area Network,2015,Electrical / Electronic Manufacturing,7738
55,Bc17eCd8BFdDaF3,Chambers-Aguilar,http://www.keith.biz/,El Salvador,Team-oriented scalable monitoring,2003,Oil / Energy / Solar / Greentech,5713
56,7ADBfc85bBe5EEF,Pineda Group,https://www.grimes.com/,Seychelles,Adaptive zero administration Internet solution,1978,Human Resources / HR,5025
57,0A2250c7a8AB76d,Mata-Hendrix,https://proctor-haney.com/,India,Ameliorated actuating process improvement,1999,Professional Training,439
58,f36Ad23F71a2ed5,Rodriguez-Roman,http://jacobs.com/,Qatar,Fully-configurable didactic middleware,1974,Public Relations / PR,1529
59,DC507aF1f35F6FA,"Bernard, Molina and Wise",https://lozano.net/,Sweden,Cross-group tangible benchmark,2012,Renewables / Environment,9089
60,b38ee1B201A5DD2,"Mclaughlin, Choi and Zamora",http://www.gomez-wolfe.info/,Qatar,Multi-layered empowering intranet,1988,Law Practice / Law Firms,4954
61,96B6c628C668D51,"Hess, Horn and Vincent",https://garrett.biz/,Rwanda,Seamless asymmetric open system,1998,Food / Beverages,366
62,00B30CbB82C35a3,"Greene, Lopez and Jacobs",https://www.montoya-conrad.com/,Malaysia,Organic background strategy,2005,Computer Software / Engineering,4446
63,fF27c7D1cc73a26,"Riddle, Brewer and Boone",http://dennis.com/,Togo,User-friendly context-sensitive neural-net,1977,Animation,7941
64,cfE69a7e3769286,Bauer Ltd,http://www.archer.info/,Puerto Rico,De-engineered disintermediate implementation,1978,Military Industry,3882
65,18968E7EBB4FA4C,Jordan Group,https://www.york-willis.org/,French Polynesia,Inverse hybrid structure,2018,Publishing Industry,7717
66,277FEAA51CbfDd4,Price-Griffin,http://burton-russell.info/,Armenia,User-centric secondary software,2016,Transportation,2840
67,86AEE5e0f33bfC9,Arnold-Stokes,https://www.carroll-munoz.com/,Turkey,Proactive 5thgeneration adapter,1974,Semiconductors,1084
68,Fe9CCBBcCCF29D0,"Miller, Briggs and Whitaker",https://www.rollins-aguirre.com/,Guinea-Bissau,Multi-tiered explicit extranet,2007,Insurance,2574
69,c7ABCbCC3d54f92,Soto-Sweeney,https://evans.com/,Saudi Arabia,User-centric multi-tasking collaboration,1970,Cosmetics,2605
70,f79C3Bb17c18617,Chen Inc,https://castillo.net/,Isle of Man,Sharable cohesive leverage,1983,Investment Management / Hedge Fund / Private Equity,8780
71,634A1C489d280B9,Floyd Inc,http://www.travis.net/,Bangladesh,Robust solution-oriented database,2002,Philanthropy,7564
72,ef7916Bc4ca3Acb,"Harvey, Mays and Wallace",https://www.pitts.com/,Latvia,Total disintermediate algorithm,2015,Think Tanks,4963
73,5Ed9cf1ec098B7E,Liu LLC,https://montoya.org/,Denmark,Advanced heuristic data-warehouse,1970,Wine / Spirits,4631
74,F0fBa4cDfEac0df,Le PLC,http://melton.biz/,Sierra Leone,Down-sized user-facing Graphical User Interface,1996,Semiconductors,9463
75,c7CEA8AD21afA13,Doyle-Clayton,https://www.berg-meza.net/,Lao People's Democratic Republic,Synergistic next generation flexibility,2023,Staffing / Recruiting,5022
76,89020a71B036De3,"Tran, Reed and Bell",http://www.russell.info/,Bermuda,Right-sized regional hardware,1975,Photography,9313
77,842CAFbC464950A,Schmitt-Gonzales,http://www.dennis-hancock.com/,Lao People's Democratic Republic,Open-architected background monitoring,1993,Fundraising,7810
78,1eABeC63cEac39c,"Davis, Cantrell and Browning",https://miranda.com/,Russian Federation,Ergonomic context-sensitive encoding,2012,Alternative Dispute Resolution,6922
79,eA2cBbC06FCC8f0,"Parrish, Carter and Atkinson",http://buckley-scott.com/,Palestinian Territory,Adaptive optimizing success,2021,Cosmetics,761
80,eA0B25Fd00DbAd7,"Herrera, Cohen and Keller",http://sharp.biz/,Burkina Faso,Synergized 4thgeneration workforce,1975,Public Safety,6027
81,F0eeacB0344aCD1,"Donovan, Hines and Morrison",http://sampson.com/,Saudi Arabia,Team-oriented bandwidth-monitored complexity,1999,Performing Arts,8504
82,7b2d6509966a93c,"Farrell, Hahn and Lindsey",http://www.harrison-estrada.com/,Northern Mariana Islands,Progressive even-keeled website,1987,Health / Fitness,9551
83,5f655a5A7DC165d,Little Ltd,http://chung-chaney.info/,Niger,Operative discrete knowledge user,1994,Food / Beverages,4852
84,29dE5343400E5be,Dalton Inc,http://hamilton.net/,Finland,Managed bi-directional focus group,2004,Military Industry,6497
85,EacB5B8F3A6CBf0,Simmons-Shaw,https://www.humphrey.biz/,Cote d'Ivoire,Compatible executive superstructure,1999,Broadcast Media,6064
86,2A791EDaD0893BD,Warren Inc,http://lamb.org/,Rwanda,Progressive cohesive collaboration,1984,Supermarkets,6657
87,316D4C19AdA429A,"Olson, Morton and Clay",https://savage.com/,Singapore,Virtual real-time workforce,2017,International Trade / Development,6405
88,dCdBb78beb5D9AA,Lucas-Abbott,https://www.carlson.org/,Brazil,Object-based human-resource success,1993,Publishing Industry,492
89,39dFCAEaf18fac7,"Benjamin, Heath and Macias",https://www.vincent.info/,Timor-Leste,Configurable bifurcated emulation,1991,Graphic Design / Web Design,5119
90,f9B85d41C6C6B39,Stone-Davis,http://juarez.com/,Benin,Programmable background policy,1986,Performing Arts,9855
91,ba3b1f00C768A81,"Ford, Sharp and Haley",https://www.walters.biz/,Brunei Darussalam,Upgradable mobile concept,1989,Renewables / Environment,2706
92,6CbccD7FCa01f44,Ponce LLC,https://wilson.com/,Guernsey,Innovative bottom-line capability,2000,Public Relations / PR,1267
93,dCE3004Aa9Dd8fc,Jensen PLC,http://www.parker.org/,British Indian Ocean Territory (Chagos Archipelago),Exclusive needs-based access,1972,Dairy,8209
94,5cDFdaEDDFfBFCF,Rollins Inc,https://patrick.com/,Puerto Rico,Enterprise-wide clear-thinking knowledge user,1999,Education Management,9177
95,A6454CaB19ADDae,English PLC,https://lowe.net/,Northern Mariana Islands,Seamless national complexity,1970,Investment Banking / Venture,2120
96,639e8Aaa6DfF4EB,Ellison-Lucas,http://www.underwood.com/,Bermuda,Ergonomic directional focus group,1990,Import / Export,3520
97,fB3FabA7297c63a,"Valenzuela, Barry and Fuller",https://www.orr.com/,Macao,Vision-oriented foreground database,1977,International Affairs,7717
98,Ea5d4af6166A4AE,Schultz-Clements,http://www.delgado.com/,Burundi,Upgradable stable model,1997,Utilities,7755
99,8C3Dfba38fAA57B,Trujillo-Krueger,http://www.lamb.com/,Afghanistan,Decentralized 24/7 frame,2004,Law Enforcement,4034
100,A0faba78895fc86,"Mayo, Mcconnell and Herring",https://www.becker.net/,Syrian Arab Republic,Organized responsive portal,1970,Performing Arts,3057
